# wavelength (nm), throughput
508.3999939,0.067109401
508.5,0.064257219
508.6000061,0.061201778
508.7000122,0.057969976
508.7999878,0.054587267
508.8999939,0.051084685
509,0.047490992
509.1000061,0.043823842
509.2000122,0.040136605
509.2999878,0.036460224
509.3999939,0.032863797
509.5,0.029306791
509.6000061,0.038791765
509.7000122,0.041702803
509.7999878,0.044642591
509.8999939,0.047594986
510,0.050512717
510.1000061,0.053406413
510.2000122,0.056255911
510.2999878,0.059040376
510.3999939,0.061741349
510.5,0.064339274
510.6000061,0.066811463
510.7000122,0.069139863
510.7999878,0.071303717
510.8999939,0.073286351
511,0.075051137
511.1000061,0.076660802
511.2000122,0.078038324
511.2999878,0.079169297
511.3999939,0.080040037
511.5,0.080638819
511.6000061,0.080954617
511.7000122,0.080981641
511.7999878,0.080713326
511.8999939,0.080147745
512,0.079292853
512.0999756,0.078155105
512.2000122,0.076724614
512.2999878,0.075010118
512.4000244,0.073021146
512.5,0.070770932
512.5999756,0.068275247
512.7000122,0.065552396
512.7999878,0.062623465
512.9000244,0.059511452
513,0.056241124
513.0999756,0.052860013
513.2000122,0.049341671
513.2999878,0.045759622
513.4000244,0.042135031
513.5,0.038506666
513.5999756,0.034904685
513.7000122,0.031355301
513.7999878,0.036860464
513.9000244,0.03967685
514,0.042531781
514.0999756,0.045392606
514.2000122,0.048247167
514.2999878,0.0511118
514.4000244,0.053942153
514.5,0.056718461
514.5999756,0.059406632
514.7000122,0.062038893
514.7999878,0.064583291
514.9000244,0.066991301
515,0.069250454
515.0999756,0.071403228
515.2000122,0.073336623
515.2999878,0.075113217
515.4000244,0.076665379
515.5,0.078005078
515.5999756,0.079080558
515.7000122,0.079916508
515.7999878,0.080479777
515.9000244,0.080795008
516,0.080813957
516.0999756,0.080586725
516.2000122,0.080066144
516.2999878,0.079241869
516.4000244,0.078122264
516.5,0.076760301
516.5999756,0.075095047
516.7000122,0.0731856
516.7999878,0.07101679
516.9000244,0.068584365
517,0.065954164
517.0999756,0.063094831
517.2000122,0.060076553
517.2999878,0.056880649
517.4000244,0.053557134
517.5,0.050133503
517.5999756,0.046642572
517.7000122,0.043128979
517.7999878,0.039564932
517.9000244,0.036017905
518,0.0325102
518.0999756,0.029073592
518.2000122,0.038673776
518.2999878,0.04147076
518.4000244,0.044302691
518.5,0.04714518
518.5999756,0.049984271
518.7000122,0.05283153
518.7999878,0.055600056
518.9000244,0.058352101
519,0.061015287
519.0999756,0.063604347
519.2000122,0.066004372
519.2999878,0.068354727
519.4000244,0.070541956
519.5,0.072559259
519.5999756,0.074418635
519.7000122,0.076070557
519.7999878,0.077502178
519.9000244,0.078694494
520,0.079680906
520.0999756,0.080445079
520.2000122,0.080935264
